long,lat,mdd
-39.5,35.5,323.52
-38.5,35.5,321.33
-37.5,35.5,315.87
-36.5,35.5,315.19
-35.5,35.5,316.20
-34.5,35.5,315.23
-33.5,35.5,315.02
-32.5,35.5,312.14
-31.5,35.5,311.36
-30.5,35.5,310.34
-29.5,35.5,308.64
-28.5,35.5,308.30
-27.5,35.5,306.04
-26.5,35.5,304.71
-25.5,35.5,307.65
-24.5,35.5,307.12
-23.5,35.5,305.00
-22.5,35.5,303.29
-21.5,35.5,302.65
-20.5,35.5,302.12
-19.5,35.5,299.86
-18.5,35.5,297.38
-17.5,35.5,295.55
-16.5,35.5,292.65
-15.5,35.5,289.89
-14.5,35.5,288.60
-13.5,35.5,289.71
-12.5,35.5,288.68
-11.5,35.5,288.37
-10.5,35.5,290.74
-9.5,35.5,295.72
-8.5,35.5,301.55
-7.5,35.5,311.14
-6.5,35.5,NA
-5.5,35.5,NA
-4.5,35.5,NA
-3.5,35.5,NA
-2.5,35.5,NA
-1.5,35.5,NA
-0.5,35.5,NA
-39.5,34.5,322.26
-38.5,34.5,320.80
-37.5,34.5,319.89
-36.5,34.5,318.74
-35.5,34.5,316.77
-34.5,34.5,317.58
-33.5,34.5,318.82
-32.5,34.5,318.22
-31.5,34.5,317.63
-30.5,34.5,316.63
-29.5,34.5,312.94
-28.5,34.5,313.67
-27.5,34.5,312.87
-26.5,34.5,309.97
-25.5,34.5,309.79
-24.5,34.5,307.98
-23.5,34.5,306.06
-22.5,34.5,305.14
-21.5,34.5,303.99
-20.5,34.5,302.37
-19.5,34.5,300.84
-18.5,34.5,298.48
-17.5,34.5,296.07
-16.5,34.5,295.01
-15.5,34.5,294.01
-14.5,34.5,293.23
-13.5,34.5,293.65
-12.5,34.5,292.68
-11.5,34.5,290.87
-10.5,34.5,292.30
-9.5,34.5,294.61
-8.5,34.5,299.51
-7.5,34.5,325.99
-6.5,34.5,NA
-5.5,34.5,NA
-4.5,34.5,NA
-3.5,34.5,NA
-2.5,34.5,NA
-1.5,34.5,NA
-0.5,34.5,NA
-39.5,33.5,326.00
-38.5,33.5,324.80
-37.5,33.5,322.69
-36.5,33.5,322.45
-35.5,33.5,321.32
-34.5,33.5,320.12
-33.5,33.5,323.26
-32.5,33.5,324.11
-31.5,33.5,323.25
-30.5,33.5,322.90
-29.5,33.5,321.48
-28.5,33.5,322.36
-27.5,33.5,325.65
-26.5,33.5,325.78
-25.5,33.5,321.57
-24.5,33.5,315.34
-23.5,33.5,312.12
-22.5,33.5,309.97
-21.5,33.5,307.88
-20.5,33.5,306.84
-19.5,33.5,314.41
-18.5,33.5,311.21
-17.5,33.5,305.99
-16.5,33.5,300.45
-15.5,33.5,301.93
-14.5,33.5,309.41
-13.5,33.5,307.31
-12.5,33.5,299.44
-11.5,33.5,296.63
-10.5,33.5,297.21
-9.5,33.5,318.16
-8.5,33.5,NA
-7.5,33.5,NA
-6.5,33.5,NA
-5.5,33.5,NA
-4.5,33.5,NA
-3.5,33.5,NA
-2.5,33.5,NA
-1.5,33.5,NA
-0.5,33.5,NA
-39.5,32.5,341.25
-38.5,32.5,352.47
-37.5,32.5,350.53
-36.5,32.5,354.38
-35.5,32.5,356.76
-34.5,32.5,349.28
-33.5,32.5,340.33
-32.5,32.5,341.74
-31.5,32.5,344.69
-30.5,32.5,344.83
-29.5,32.5,341.62
-28.5,32.5,341.01
-27.5,32.5,348.60
-26.5,32.5,359.40
-25.5,32.5,345.49
-24.5,32.5,330.56
-23.5,32.5,328.81
-22.5,32.5,325.57
-21.5,32.5,320.77
-20.5,32.5,322.40
-19.5,32.5,330.17
-18.5,32.5,336.78
-17.5,32.5,NA
-16.5,32.5,NA
-15.5,32.5,327.45
-14.5,32.5,336.11
-13.5,32.5,337.38
-12.5,32.5,321.89
-11.5,32.5,305.94
-10.5,32.5,320.18
-9.5,32.5,NA
-8.5,32.5,NA
-7.5,32.5,NA
-6.5,32.5,NA
-5.5,32.5,NA
-4.5,32.5,NA
-3.5,32.5,NA
-2.5,32.5,NA
-1.5,32.5,NA
-0.5,32.5,NA
-39.5,31.5,372.26
-38.5,31.5,384.95
-37.5,31.5,382.57
-36.5,31.5,383.89
-35.5,31.5,386.63
-34.5,31.5,381.54
-33.5,31.5,368.50
-32.5,31.5,366.19
-31.5,31.5,376.66
-30.5,31.5,371.04
-29.5,31.5,360.06
-28.5,31.5,359.63
-27.5,31.5,365.84
-26.5,31.5,372.16
-25.5,31.5,359.86
-24.5,31.5,346.30
-23.5,31.5,334.80
-22.5,31.5,333.64
-21.5,31.5,334.07
-20.5,31.5,335.61
-19.5,31.5,336.65
-18.5,31.5,350.03
-17.5,31.5,354.88
-16.5,31.5,346.85
-15.5,31.5,350.79
-14.5,31.5,351.73
-13.5,31.5,339.81
-12.5,31.5,311.65
-11.5,31.5,301.92
-10.5,31.5,341.31
-9.5,31.5,NA
-8.5,31.5,NA
-7.5,31.5,NA
-6.5,31.5,NA
-5.5,31.5,NA
-4.5,31.5,NA
-3.5,31.5,NA
-2.5,31.5,NA
-1.5,31.5,NA
-0.5,31.5,NA
-39.5,30.5,396.09
-38.5,30.5,398.28
-37.5,30.5,404.06
-36.5,30.5,403.05
-35.5,30.5,401.77
-34.5,30.5,400.48
-33.5,30.5,393.30
-32.5,30.5,388.87
-31.5,30.5,396.11
-30.5,30.5,396.22
-29.5,30.5,393.58
-28.5,30.5,384.53
-27.5,30.5,383.16
-26.5,30.5,385.42
-25.5,30.5,377.42
-24.5,30.5,363.17
-23.5,30.5,357.40
-22.5,30.5,354.78
-21.5,30.5,345.80
-20.5,30.5,343.22
-19.5,30.5,351.85
-18.5,30.5,367.24
-17.5,30.5,373.57
-16.5,30.5,371.82
-15.5,30.5,370.42
-14.5,30.5,363.74
-13.5,30.5,351.32
-12.5,30.5,319.46
-11.5,30.5,302.99
-10.5,30.5,332.85
-9.5,30.5,NA
-8.5,30.5,NA
-7.5,30.5,NA
-6.5,30.5,NA
-5.5,30.5,NA
-4.5,30.5,NA
-3.5,30.5,NA
-2.5,30.5,NA
-1.5,30.5,NA
-0.5,30.5,NA
-39.5,29.5,409.11
-38.5,29.5,408.53
-37.5,29.5,411.31
-36.5,29.5,411.52
-35.5,29.5,409.62
-34.5,29.5,410.74
-33.5,29.5,408.72
-32.5,29.5,408.24
-31.5,29.5,407.45
-30.5,29.5,404.70
-29.5,29.5,401.85
-28.5,29.5,391.66
-27.5,29.5,391.95
-26.5,29.5,392.15
-25.5,29.5,388.43
-24.5,29.5,382.86
-23.5,29.5,374.27
-22.5,29.5,363.49
-21.5,29.5,355.09
-20.5,29.5,359.93
-19.5,29.5,372.03
-18.5,29.5,377.22
-17.5,29.5,377.55
-16.5,29.5,377.78
-15.5,29.5,377.29
-14.5,29.5,369.13
-13.5,29.5,344.52
-12.5,29.5,327.37
-11.5,29.5,337.82
-10.5,29.5,NA
-9.5,29.5,NA
-8.5,29.5,NA
-7.5,29.5,NA
-6.5,29.5,NA
-5.5,29.5,NA
-4.5,29.5,NA
-3.5,29.5,NA
-2.5,29.5,NA
-1.5,29.5,NA
-0.5,29.5,NA
-39.5,28.5,418.15
-38.5,28.5,417.07
-37.5,28.5,418.25
-36.5,28.5,418.64
-35.5,28.5,417.99
-34.5,28.5,417.04
-33.5,28.5,416.43
-32.5,28.5,415.62
-31.5,28.5,414.15
-30.5,28.5,411.27
-29.5,28.5,407.48
-28.5,28.5,405.75
-27.5,28.5,402.83
-26.5,28.5,397.87
-25.5,28.5,393.91
-24.5,28.5,389.65
-23.5,28.5,388.41
-22.5,28.5,382.14
-21.5,28.5,375.68
-20.5,28.5,380.41
-19.5,28.5,386.22
-18.5,28.5,385.95
-17.5,28.5,383.27
-16.5,28.5,374.73
-15.5,28.5,NA
-14.5,28.5,337.41
-13.5,28.5,NA
-12.5,28.5,NA
-11.5,28.5,NA
-10.5,28.5,NA
-9.5,28.5,NA
-8.5,28.5,NA
-7.5,28.5,NA
-6.5,28.5,NA
-5.5,28.5,NA
-4.5,28.5,NA
-3.5,28.5,NA
-2.5,28.5,NA
-1.5,28.5,NA
-0.5,28.5,NA
-39.5,27.5,422.35
-38.5,27.5,422.01
-37.5,27.5,421.70
-36.5,27.5,421.02
-35.5,27.5,421.64
-34.5,27.5,421.22
-33.5,27.5,418.82
-32.5,27.5,416.41
-31.5,27.5,415.34
-30.5,27.5,414.95
-29.5,27.5,409.78
-28.5,27.5,408.44
-27.5,27.5,406.93
-26.5,27.5,400.44
-25.5,27.5,396.88
-24.5,27.5,398.51
-23.5,27.5,398.03
-22.5,27.5,388.51
-21.5,27.5,386.56
-20.5,27.5,391.82
-19.5,27.5,390.15
-18.5,27.5,373.32
-17.5,27.5,364.77
-16.5,27.5,346.66
-15.5,27.5,NA
-14.5,27.5,325.74
-13.5,27.5,NA
-12.5,27.5,NA
-11.5,27.5,NA
-10.5,27.5,NA
-9.5,27.5,NA
-8.5,27.5,NA
-7.5,27.5,NA
-6.5,27.5,NA
-5.5,27.5,NA
-4.5,27.5,NA
-3.5,27.5,NA
-2.5,27.5,NA
-1.5,27.5,NA
-0.5,27.5,NA
-39.5,26.5,420.62
-38.5,26.5,420.93
-37.5,26.5,420.05
-36.5,26.5,420.70
-35.5,26.5,420.34
-34.5,26.5,420.35
-33.5,26.5,420.82
-32.5,26.5,420.40
-31.5,26.5,419.01
-30.5,26.5,417.38
-29.5,26.5,411.39
-28.5,26.5,408.11
-27.5,26.5,408.74
-26.5,26.5,409.74
-25.5,26.5,410.06
-24.5,26.5,407.79
-23.5,26.5,406.65
-22.5,26.5,397.45
-21.5,26.5,392.82
-20.5,26.5,388.04
-19.5,26.5,377.21
-18.5,26.5,360.42
-17.5,26.5,332.51
-16.5,26.5,332.49
-15.5,26.5,342.72
-14.5,26.5,NA
-13.5,26.5,NA
-12.5,26.5,NA
-11.5,26.5,NA
-10.5,26.5,NA
-9.5,26.5,NA
-8.5,26.5,NA
-7.5,26.5,NA
-6.5,26.5,NA
-5.5,26.5,NA
-4.5,26.5,NA
-3.5,26.5,NA
-2.5,26.5,NA
-1.5,26.5,NA
-0.5,26.5,NA
-39.5,25.5,418.44
-38.5,25.5,418.68
-37.5,25.5,419.24
-36.5,25.5,421.36
-35.5,25.5,421.38
-34.5,25.5,419.99
-33.5,25.5,420.08
-32.5,25.5,421.24
-31.5,25.5,418.72
-30.5,25.5,417.39
-29.5,25.5,413.81
-28.5,25.5,412.17
-27.5,25.5,413.79
-26.5,25.5,415.57
-25.5,25.5,415.62
-24.5,25.5,412.90
-23.5,25.5,404.52
-22.5,25.5,391.69
-21.5,25.5,373.31
-20.5,25.5,355.42
-19.5,25.5,336.77
-18.5,25.5,330.76
-17.5,25.5,328.62
-16.5,25.5,365.25
-15.5,25.5,NA
-14.5,25.5,NA
-13.5,25.5,NA
-12.5,25.5,NA
-11.5,25.5,NA
-10.5,25.5,NA
-9.5,25.5,NA
-8.5,25.5,NA
-7.5,25.5,NA
-6.5,25.5,NA
-5.5,25.5,NA
-4.5,25.5,NA
-3.5,25.5,NA
-2.5,25.5,NA
-1.5,25.5,NA
-0.5,25.5,NA
-39.5,24.5,414.44
-38.5,24.5,415.67
-37.5,24.5,417.94
-36.5,24.5,419.02
-35.5,24.5,419.68
-34.5,24.5,419.83
-33.5,24.5,418.66
-32.5,24.5,419.73
-31.5,24.5,419.22
-30.5,24.5,416.62
-29.5,24.5,416.27
-28.5,24.5,416.94
-27.5,24.5,417.07
-26.5,24.5,416.76
-25.5,24.5,416.89
-24.5,24.5,412.63
-23.5,24.5,402.45
-22.5,24.5,386.50
-21.5,24.5,354.28
-20.5,24.5,336.16
-19.5,24.5,329.89
-18.5,24.5,328.61
-17.5,24.5,347.27
-16.5,24.5,NA
-15.5,24.5,NA
-14.5,24.5,NA
-13.5,24.5,NA
-12.5,24.5,NA
-11.5,24.5,NA
-10.5,24.5,NA
-9.5,24.5,NA
-8.5,24.5,NA
-7.5,24.5,NA
-6.5,24.5,NA
-5.5,24.5,NA
-4.5,24.5,NA
-3.5,24.5,NA
-2.5,24.5,NA
-1.5,24.5,NA
-0.5,24.5,NA
-39.5,23.5,409.99
-38.5,23.5,412.20
-37.5,23.5,414.16
-36.5,23.5,415.58
-35.5,23.5,416.88
-34.5,23.5,416.56
-33.5,23.5,417.38
-32.5,23.5,419.67
-31.5,23.5,420.77
-30.5,23.5,420.19
-29.5,23.5,419.55
-28.5,23.5,419.99
-27.5,23.5,419.20
-26.5,23.5,417.70
-25.5,23.5,415.69
-24.5,23.5,407.95
-23.5,23.5,386.60
-22.5,23.5,363.46
-21.5,23.5,338.70
-20.5,23.5,334.76
-19.5,23.5,332.92
-18.5,23.5,350.20
-17.5,23.5,364.34
-16.5,23.5,NA
-15.5,23.5,NA
-14.5,23.5,NA
-13.5,23.5,NA
-12.5,23.5,NA
-11.5,23.5,NA
-10.5,23.5,NA
-9.5,23.5,NA
-8.5,23.5,NA
-7.5,23.5,NA
-6.5,23.5,NA
-5.5,23.5,NA
-4.5,23.5,NA
-3.5,23.5,NA
-2.5,23.5,NA
-1.5,23.5,NA
-0.5,23.5,NA
-39.5,22.5,404.33
-38.5,22.5,407.46
-37.5,22.5,409.76
-36.5,22.5,411.88
-35.5,22.5,414.30
-34.5,22.5,415.22
-33.5,22.5,416.82
-32.5,22.5,418.85
-31.5,22.5,419.60
-30.5,22.5,420.13
-29.5,22.5,420.28
-28.5,22.5,419.37
-27.5,22.5,416.97
-26.5,22.5,408.38
-25.5,22.5,403.78
-24.5,22.5,392.84
-23.5,22.5,363.94
-22.5,22.5,345.85
-21.5,22.5,338.67
-20.5,22.5,338.18
-19.5,22.5,348.69
-18.5,22.5,370.64
-17.5,22.5,NA
-16.5,22.5,NA
-15.5,22.5,NA
-14.5,22.5,NA
-13.5,22.5,NA
-12.5,22.5,NA
-11.5,22.5,NA
-10.5,22.5,NA
-9.5,22.5,NA
-8.5,22.5,NA
-7.5,22.5,NA
-6.5,22.5,NA
-5.5,22.5,NA
-4.5,22.5,NA
-3.5,22.5,NA
-2.5,22.5,NA
-1.5,22.5,NA
-0.5,22.5,NA
-39.5,21.5,398.28
-38.5,21.5,401.93
-37.5,21.5,404.73
-36.5,21.5,407.84
-35.5,21.5,410.69
-34.5,21.5,412.57
-33.5,21.5,414.98
-32.5,21.5,417.04
-31.5,21.5,417.52
-30.5,21.5,417.55
-29.5,21.5,416.57
-28.5,21.5,412.88
-27.5,21.5,401.63
-26.5,21.5,383.73
-25.5,21.5,371.37
-24.5,21.5,356.83
-23.5,21.5,343.03
-22.5,21.5,339.31
-21.5,21.5,339.70
-20.5,21.5,347.12
-19.5,21.5,366.05
-18.5,21.5,353.50
-17.5,21.5,NA
-16.5,21.5,NA
-15.5,21.5,NA
-14.5,21.5,NA
-13.5,21.5,NA
-12.5,21.5,NA
-11.5,21.5,NA
-10.5,21.5,NA
-9.5,21.5,NA
-8.5,21.5,NA
-7.5,21.5,NA
-6.5,21.5,NA
-5.5,21.5,NA
-4.5,21.5,NA
-3.5,21.5,NA
-2.5,21.5,NA
-1.5,21.5,NA
-0.5,21.5,NA
-39.5,20.5,392.75
-38.5,20.5,396.14
-37.5,20.5,398.97
-36.5,20.5,403.18
-35.5,20.5,406.48
-34.5,20.5,408.33
-33.5,20.5,408.72
-32.5,20.5,410.72
-31.5,20.5,408.51
-30.5,20.5,405.30
-29.5,20.5,398.22
-28.5,20.5,383.44
-27.5,20.5,365.07
-26.5,20.5,345.91
-25.5,20.5,342.87
-24.5,20.5,344.71
-23.5,20.5,346.76
-22.5,20.5,346.68
-21.5,20.5,356.09
-20.5,20.5,365.26
-19.5,20.5,348.79
-18.5,20.5,293.54
-17.5,20.5,NA
-16.5,20.5,NA
-15.5,20.5,NA
-14.5,20.5,NA
-13.5,20.5,NA
-12.5,20.5,NA
-11.5,20.5,NA
-10.5,20.5,NA
-9.5,20.5,NA
-8.5,20.5,NA
-7.5,20.5,NA
-6.5,20.5,NA
-5.5,20.5,NA
-4.5,20.5,NA
-3.5,20.5,NA
-2.5,20.5,NA
-1.5,20.5,NA
-0.5,20.5,NA
-39.5,19.5,387.71
-38.5,19.5,390.03
-37.5,19.5,392.98
-36.5,19.5,396.51
-35.5,19.5,398.31
-34.5,19.5,394.87
-33.5,19.5,388.78
-32.5,19.5,388.93
-31.5,19.5,383.99
-30.5,19.5,370.52
-29.5,19.5,347.20
-28.5,19.5,340.78
-27.5,19.5,346.18
-26.5,19.5,351.62
-25.5,19.5,352.42
-24.5,19.5,353.13
-23.5,19.5,348.26
-22.5,19.5,351.74
-21.5,19.5,351.76
-20.5,19.5,326.93
-19.5,19.5,284.35
-18.5,19.5,250.99
-17.5,19.5,242.23
-16.5,19.5,NA
-15.5,19.5,NA
-14.5,19.5,NA
-13.5,19.5,NA
-12.5,19.5,NA
-11.5,19.5,NA
-10.5,19.5,NA
-9.5,19.5,NA
-8.5,19.5,NA
-7.5,19.5,NA
-6.5,19.5,NA
-5.5,19.5,NA
-4.5,19.5,NA
-3.5,19.5,NA
-2.5,19.5,NA
-1.5,19.5,NA
-0.5,19.5,NA
-39.5,18.5,380.62
-38.5,18.5,381.20
-37.5,18.5,380.43
-36.5,18.5,378.03
-35.5,18.5,368.59
-34.5,18.5,355.26
-33.5,18.5,340.36
-32.5,18.5,337.56
-31.5,18.5,336.59
-30.5,18.5,339.23
-29.5,18.5,346.04
-28.5,18.5,353.33
-27.5,18.5,358.59
-26.5,18.5,357.52
-25.5,18.5,353.97
-24.5,18.5,349.05
-23.5,18.5,344.54
-22.5,18.5,333.74
-21.5,18.5,315.35
-20.5,18.5,285.49
-19.5,18.5,259.04
-18.5,18.5,248.83
-17.5,18.5,252.40
-16.5,18.5,NA
-15.5,18.5,NA
-14.5,18.5,NA
-13.5,18.5,NA
-12.5,18.5,NA
-11.5,18.5,NA
